Gene	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541
SYT1	9608	78	8363	13970	31175	17423
SYT10	27	0	4	38	81	2
SYT11	5260	1052	10706	12779	12378	10709
SYT12	1038	92	13	27	1771	37
SYT13	951	18	7163	4412	3811	8137
SYT14	74	13	1040	1283	220	1330
SYT15	124	18	60	83	177	183
SYT16	56	7	674	930	556	1377
SYT17	769	197	147	310	1029	232
SYT2	228	3	171	384	559	58
SYT3	1766	129	2213	2345	1812	3921
SYT4	2140	32	10138	17428	5907	18788
SYT5	5243	448	5343	4604	6674	8252
SYT6	62	11	2850	2157	94	3080
SYT7	2964	79	2051	3349	5886	3513
SYT8	0	0	0	0	4	0
SYT9	245	59	47	354	271	309
SYTL1	34	28	5	16	38	5
SYTL2	3575	2786	217	389	5324	378
SYTL3	10	21	180	183	26	271
SYTL4	88	170	131	251	55	120
SYTL5	79	53	29	146	271	145
SYVN1	1334	287	2286	2725	1252	2036
SZRD1	329	350	1104	1319	283	689
SZT2	1932	354	4776	6871	2053	4640
T	0	0	0	0	0	0
TAAR1	0	0	0	0	0	0
TAAR2	0	0	0	0	0	0
TAAR5	0	0	0	0	0	0
TAAR6	2	0	0	0	0	0
TAAR8	0	0	0	0	0	0
TAAR9	0	0	1	8	0	4
TAB1	1082	292	2293	2401	927	1812
TAB2	1272	478	4922	4973	1812	4683
TAB3	209	91	2245	2960	947	4021
TAC1	607	8	38	147	713	274
TAC3	87	24	46	29	208	65
TAC4	2	2	4	11	4	11
TACC1	922	427	723	1742	4010	1171
TACC2	1822	681	6632	8527	2276	7448
TACC3	266	90	1878	2314	159	282
TACO1	844	168	388	614	668	418
TACR1	28	2	35	61	77	74
TACR2	37	3	35	22	91	66
TACR3	7	4	59	102	31	72
TACSTD2	8	0	0	2	14	0
TADA1	644	63	1686	2465	726	2463
TADA2A	609	138	1940	2214	774	2371
TADA2B	536	89	1481	1470	713	1753
TADA3	3469	1735	4131	4645	2829	4811
TAF1	646	245	4008	5777	1137	3957
TAF10	1025	561	819	773	820	825
TAF11	656	156	1908	2413	712	2128
TAF12	453	140	715	853	338	803
TAF13	1234	284	728	829	1174	984
TAF15	5714	1887	15530	16845	4641	16032
TAF1A	96	57	840	1326	142	980
TAF1B	289	80	924	1388	390	1224
TAF1C	2012	454	4451	5625	1780	4023
TAF1D	767	110	1877	2516	879	2366
TAF1L	123	35	799	1160	197	969
TAF2	628	111	3132	4100	1089	3935
TAF3	506	156	1183	1628	532	1480
TAF4	372	119	2418	2883	402	2093
TAF4B	297	12	138	108	503	70
TAF5	195	32	1083	1298	286	1131
TAF5L	479	130	1904	2043	589	1791
TAF6	4340	863	5024	5210	3882	4726
TAF6L	1020	270	1284	1295	659	867
TAF7	3865	648	6739	8802	3439	8679
TAF7L	29	5	6	17	40	24
TAF8	149	44	312	368	204	251
TAF9	2245	283	2303	2948	1581	4205
TAF9B	554	156	994	1066	687	1220
TAGAP	92	30	182	227	141	192
TAGLN	683	4072	250	641	1186	579
TAGLN2	575	919	1830	3483	483	913
TAGLN3	16561	961	7413	9581	15217	7839
TAL1	56	5	62	95	16	36
TAL2	2	4	94	209	2	407
TALDO1	3538	918	5091	5737	2270	5379
TAMM41	345	67	433	610	304	559
TANC1	530	188	731	916	637	511
TANC2	477	55	12559	16038	3594	17036
TANGO2	809	130	544	586	967	621
TANGO6	502	112	1042	1288	786	976
TANK	868	282	1920	2555	932	2201
