Gene	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541
MCMBP	709	257	4560	5789	659	4858
MCMDC2	23	8	16	17	25	17
MCOLN1	1400	164	2095	1676	1577	1807
MCOLN2	2	5	0	0	0	1
MCOLN3	4	5	0	0	11	0
MCPH1	371	121	2135	2638	712	2542
MCRIP1	2081	951	3365	3911	1839	3511
MCRIP2	354	242	141	217	306	259
MCRS1	2234	582	2710	3184	1906	3050
MCTP1	1007	58	3341	1354	2678	1961
MCTP2	64	5	2	11	77	7
MCTS1	1078	201	1420	1750	976	2079
MCU	136	41	1188	1382	304	1380
MCUR1	734	358	2482	2058	855	2949
MDC1	1702	371	6005	6225	1561	4500
MDFI	39	103	834	383	37	247
MDFIC	64	43	185	335	67	128
MDGA1	294	82	1537	9048	515	8048
MDGA2	132	9	1087	826	430	1894
MDH1	28781	2447	7303	7515	25749	10605
MDH1B	238	38	169	75	342	173
MDH2	8480	1034	7679	8076	6958	8454
MDK	205	186	3561	4844	135	1829
MDM1	404	159	941	1321	494	1067
MDM2	360	84	1919	2880	755	2321
MDM4	263	44	1923	2819	318	1706
MDN1	2208	608	9471	12460	4028	11357
MDP1	94	26	166	221	98	193
ME1	1459	534	79	300	1584	409
ME2	1667	534	3526	4305	1617	5098
ME3	2040	297	2980	4829	2265	5277
MEA1	2494	704	2275	2706	2048	2266
MEAF6	2229	397	4511	5987	2574	6457
MECOM	130	60	220	372	234	366
MECP2	382	136	2156	2815	873	2274
MECR	1101	291	764	737	1107	867
MED1	618	195	6663	7620	1032	6643
MED10	999	146	1233	1400	961	1438
MED11	206	94	333	282	137	252
MED12	1365	544	7667	9444	1390	5770
MED12L	253	52	666	961	1182	330
MED13	535	291	9972	12539	2133	11310
MED13L	1074	359	21523	20006	3235	21406
MED14	1417	220	4132	5317	1761	4097
MED14OS	31	6	58	76	29	89
MED15	2491	481	3671	3642	2335	3016
MED16	3045	749	5721	4909	2180	3898
MED17	976	259	3445	4797	975	3878
MED18	206	38	400	447	216	519
MED19	559	94	1188	1442	516	1414
MED20	124	54	506	729	131	451
MED21	357	116	1251	1369	374	2123
MED22	512	173	1153	1346	418	1156
MED23	943	224	4550	5075	1470	4461
MED24	3684	799	8588	10223	3182	7907
MED25	1578	418	3400	3639	1285	3021
MED26	258	40	827	783	173	630
MED27	357	46	680	507	292	482
MED28	390	176	1330	2415	539	1373
MED29	1156	496	988	983	1106	1089
MED30	215	76	696	1033	180	638
MED31	594	86	630	644	629	847
MED4	1290	285	1702	2048	1059	2311
MED6	617	88	1169	1673	706	1589
MED7	497	110	836	1111	497	1224
MED8	899	195	1111	1241	928	1128
MED9	260	87	466	512	287	436
MEDAG	10	15	20	13	36	22
MEF2A	682	90	1786	2334	2332	2872
MEF2B	3	2	2	4	1	4
MEF2C	2490	214	38317	29264	9034	51911
MEF2D	2385	203	1769	1842	4276	1975
MEFV	17	0	2	7	19	7
MEGF10	734	263	1237	1852	450	206
MEGF11	235	158	314	925	204	505
MEGF6	310	69	2357	2220	370	1244
MEGF8	5776	1294	13272	13834	10327	15078
MEGF9	681	160	3448	4096	1661	3994
MEI1	43	26	18	9	54	9
MEI4	1	1	2	3	4	2
MEIG1	10	13	13	10	17	9
MEIKIN	17	21	3	1	10	0
MEIOB	47	16	99	69	53	94
MEIOC	165	22	152	139	142	248
MEIS1	254	66	346	1040	156	306
MEIS2	761	211	10778	22656	1092	10748
MEIS3	2320	501	3256	4390	2434	3186
MELK	4	0	1065	1201	6	121
MELTF	391	276	424	473	405	368
MEMO1	180	36	537	505	210	662
MEN1	1253	158	3547	3316	1280	2636
MEOX1	0	0	1	2	0	5
MEOX2	10	3	8	28	2	28
MEP1A	6	0	0	0	0	0
MEP1B	3	0	27	31	12	33
MEPCE	1787	388	2498	2497	1223	1677
MEPE	542	0	0	1	249	0
MERTK	1122	904	298	331	390	143
MESDC1	502	66	809	659	547	674
MESDC2	686	182	1218	1448	537	1040
MESP1	151	30	156	97	187	95
MESP2	43	2	18	10	24	14
MEST	309	67	1477	2945	624	1870
MET	133	24	124	74	704	156
METAP1	656	125	2263	2823	1148	3496
METAP1D	93	56	216	623	105	412
METAP2	2177	667	4338	5701	1770	5254
METRN	2241	3950	413	531	1342	202
METRNL	321	219	509	959	279	982
METTL1	243	62	249	295	215	267
METTL10	468	207	1120	1349	544	1253
METTL11B	0	0	4	14	2	162
METTL12	39	28	383	437	61	311
METTL13	1330	200	2163	2433	1458	2125
METTL14	438	91	1153	1565	416	1393
METTL15	124	35	274	373	233	333
METTL16	336	99	1449	1603	345	1359
METTL17	1150	397	2771	3256	713	2332
METTL18	278	56	249	312	157	308
METTL21A	513	167	361	533	485	540
METTL21B	22	19	176	172	44	169
METTL21C	43	0	0	0	28	1
METTL22	277	82	725	863	269	586
METTL23	353	159	454	470	224	507
METTL24	25	38	25	27	37	39
METTL25	126	64	131	249	131	188
METTL2A	340	86	845	921	284	1050
METTL2B	242	88	1527	1495	447	1401
METTL3	1777	585	4601	5815	1519	4794
METTL4	183	26	539	759	267	684
METTL5	1426	403	1035	1593	1022	1979
METTL6	532	130	1092	1536	565	1534
METTL7A	1552	1040	522	952	377	199
METTL7B	99	12	0	4	55	3
METTL8	113	32	385	512	146	541
METTL9	2276	886	4975	6891	2430	7607
MEX3A	16	12	6214	6606	7	3908
MEX3B	173	24	8525	9341	185	5838
MEX3C	402	94	4438	5403	586	3677
MEX3D	597	149	3133	3468	404	2272
MFAP1	1504	295	2741	4027	1180	3627
MFAP2	3	8	927	1638	4	314
MFAP3	128	31	1804	2425	282	3028
MFAP3L	341	147	98	163	503	208
MFAP4	47	192	301	449	188	197
MFAP5	5	1	0	10	3	0
MFF	3184	815	3324	4494	3009	4699
MFGE8	2230	1843	2236	2881	1831	720
MFHAS1	355	79	3006	2939	611	2885
MFN1	1339	240	3530	3833	1790	4392
MFN2	3890	935	5191	6417	5654	5966
MFNG	51	36	198	227	40	115
MFRP	0	0	0	0	0	0
MFSD1	470	292	859	1074	600	914
MFSD10	1559	711	5349	5425	1120	4024
MFSD11	595	145	1418	1662	668	1639
MFSD12	1652	249	1678	1329	1314	1493
MFSD13A	823	151	1164	995	651	1274
MFSD14A	1507	232	2869	3408	1971	3982
MFSD14B	1013	265	1196	1451	811	1172
MFSD2A	649	495	899	1221	528	932
MFSD2B	7	3	30	52	11	25
MFSD3	1195	315	713	545	1043	589
MFSD4A	2176	84	129	144	5536	183
MFSD4B	72	23	238	524	144	326
MFSD5	964	288	857	1065	681	1351
MFSD6	3005	177	2596	3017	6023	4039
MFSD6L	0	0	8	14	2	6
MFSD7	170	70	41	86	139	53
MFSD8	267	58	753	924	417	859
MFSD9	45	9	882	745	152	525
MGA	540	125	6626	8905	1357	8419
MGAM	25	2	39	84	14	21
MGAM2	5	3	10	46	4	11
MGARP	80	37	40	132	63	52
MGAT1	1188	554	1827	1785	1138	1621
MGAT2	471	110	1437	1660	427	1929
MGAT3	1335	209	2805	2648	2154	2801
MGAT4A	225	65	278	839	725	1210
MGAT4B	2551	726	4668	5288	2330	5865
MGAT4C	175	111	385	1165	177	1439
MGAT4D	0	0	0	0	0	0
MGAT5	456	119	2514	4355	1540	5445
MGAT5B	4206	594	2993	3337	5997	3738
MGC57346-CRHR1	18	8	11	12	30	11
MGEA5	5127	1139	21679	27124	9793	28312
MGLL	2465	1352	2889	1890	2949	2710
MGME1	179	96	738	812	127	350
MGMT	270	205	187	173	265	143
MGP	85	477	8	37	337	75
MGRN1	2717	321	6214	6101	3438	5793
MGST1	1374	1224	41	37	354	53
MGST2	242	226	107	193	242	171
MGST3	5604	2015	4112	5105	4678	5174
MIA	3	1	95	114	4	58
MIA2	0	0	0	0	3	0
MIA3	2822	493	6224	8095	4363	9575
MIB1	181	154	4254	5045	1290	3576
MIB2	4205	861	5714	4408	3471	3347
MICA	65	44	25	54	85	41
MICAL1	3461	1158	15993	19400	2525	13601
MICAL2	10713	415	2467	1255	13811	1238
MICAL3	2062	415	7752	12242	3219	11679
MICALCL	0	0	17	9	15	12
MICALL1	459	163	3178	3280	292	4181
MICALL2	1670	1112	966	885	988	711
MICB	8	2	6	9	18	6
MICU1	3325	592	5568	7004	3118	6577
MICU2	2141	629	3158	4049	1819	4409
MICU3	1223	99	968	1362	3458	2084
MID1	79	64	3863	2306	94	878
MID1IP1	1749	670	693	898	696	599
MID2	118	66	318	285	302	502
MIDN	689	294	6046	6568	719	4099
MIEF1	667	131	1611	2291	887	1781
MIEF2	454	54	1127	1086	433	1214
MIEN1	1128	568	1351	1528	906	1496
MIER1	542	147	1897	2212	1019	2209
MIER2	920	180	1775	1874	707	1561
MIER3	164	58	1670	2377	331	1950
MIF	4972	2296	5478	5019	4549	6180
MIF4GD	331	179	423	610	189	596
MIIP	782	291	2552	2759	601	2882
MILR1	2	0	4	8	0	3
MINA	615	112	280	617	705	766
MINK1	10565	2333	10244	11580	12098	9945
MINOS1	1934	1364	885	1158	1542	1385
MINOS1-NBL1	1	6	9	20	4	11
MINPP1	395	91	1569	1548	407	1343
MIOS	783	230	2659	3663	1098	3952
MIOX	1	0	33	10	0	4
MIP	0	0	3	7	7	8
MIPEP	398	98	445	763	383	1153
MIPOL1	102	15	221	176	151	272
MIR1-1HG	0	0	0	0	2	0
MIR205HG	0	0	0	0	0	0
MIS12	306	109	588	695	228	683
MIS18A	107	38	513	585	142	344
MIS18BP1	271	34	1524	2190	607	653
MISP	13	7	22	16	11	18
MITD1	586	202	1020	1293	402	1081
MITF	72	26	81	62	110	45
MIXL1	0	0	13	5	2	6
MKI67	4	6	9790	13729	7	983
MKKS	2566	493	1944	2723	2495	3232
MKL1	2379	212	3826	4213	2375	4303
MKL2	804	71	1718	2673	5294	3604
MKLN1	425	336	1239	1912	721	1288
MKNK1	801	139	629	919	713	778
MKNK2	1010	400	2079	2700	1002	2158
MKRN1	3269	384	7346	8420	3568	8557
MKRN2	1040	268	2010	2324	1307	2144
MKRN2OS	63	3	208	272	101	222
MKRN3	78	36	929	1211	60	624
MKS1	277	113	1083	1140	347	773
MKX	99	2	12	24	318	19
MLANA	5	2	20	25	3	17
MLC1	3791	4183	1873	2353	1154	278
MLEC	363	164	1096	1750	779	1324
MLF1	621	189	595	840	622	1087
MLF2	8485	1445	5556	6596	7410	6475
MLH1	1414	504	3123	3388	1128	3853
MLH3	1095	208	2570	3464	968	3567
MLIP	904	30	480	663	1364	756
MLKL	44	30	14	47	39	23
MLLT1	2640	479	4616	5960	2951	5404
MLLT10	684	204	3616	4052	939	3443
MLLT11	5618	236	15272	20144	6211	22537
MLLT3	400	73	9935	12477	721	8455
MLLT4	1650	430	24629	33240	2581	25783
MLLT6	3210	1232	5009	6248	4100	4457
MLN	4	0	1	0	0	0
MLNR	2	0	2	4	0	0
MLPH	46	17	2	10	9	8
MLST8	2695	899	2055	1957	2366	1805
MLX	732	135	1595	1876	707	1589
MLXIP	573	104	3072	3813	818	2574
MLXIPL	1098	100	5	17	921	11
MLYCD	349	104	606	568	337	628
MMAA	83	30	685	976	131	894
MMAB	547	216	492	672	369	550
MMACHC	151	30	251	268	191	259
MMADHC	2093	489	3895	4861	1821	5100
MMD	1116	175	1831	2209	1631	3822
MMD2	366	342	105	210	223	147
MME	8	0	56	93	73	39
MMEL1	329	134	407	474	213	569
MMGT1	72	35	478	500	242	616
MMP1	0	0	0	0	0	0
MMP10	0	0	8	0	0	0
MMP11	21	19	625	720	14	750
MMP12	0	0	0	0	0	0
MMP13	0	0	0	0	0	0
MMP14	98	139	994	1617	139	665
MMP15	441	138	1829	2424	275	1540
MMP16	74	34	1349	2310	284	2315
MMP17	2823	670	1632	3412	2689	4215
MMP19	0	3	4	18	1	17
MMP2	109	70	390	1040	101	1084
MMP20	0	0	0	0	0	0
MMP21	4	1	12	17	3	10
MMP23B	3	0	1	0	0	2
MMP24	549	69	4561	6747	820	9670
MMP25	116	22	371	483	128	449
MMP26	4	0	0	0	0	0
MMP27	0	0	0	2	0	0
MMP28	546	511	236	314	164	181
MMP3	0	0	1	0	6	0
MMP7	0	0	0	0	0	0
MMP8	0	0	0	0	0	0
MMP9	13	8	9	13	10	27
MMRN1	11	3	147	164	4	292
MMRN2	258	233	304	559	435	426
MMS19	3362	578	6103	6678	3026	5623
MMS22L	71	11	1110	1775	44	318
MN1	221	78	21825	26419	597	20960
MNAT1	657	280	724	917	692	856
MND1	38	2	184	208	9	75
MNDA	100	118	72	37	93	33
MNS1	291	35	316	491	124	126
MNT	731	63	1648	1746	1017	1687
MNX1	0	0	10	0	0	0
MOAP1	8218	568	3247	3921	10309	5173
MOB1A	226	54	728	1100	233	666
MOB1B	44	22	663	850	207	705
MOB2	757	272	818	1069	652	956
MOB3A	220	56	932	929	144	635
MOB3B	175	29	371	889	253	183
MOB3C	38	27	17	121	32	55
MOB4	9	4	10	13	6	22
MOBP	2828	820	15	3	1177	0
MOCOS	9	1	13	28	1	3
MOCS1	728	326	177	464	526	399
MOCS2	2830	636	1560	1439	2484	2080
MOCS3	271	24	709	607	360	643
MOG	7508	450	5	12	3433	8
MOGAT1	10	1	0	0	0	0
MOGAT2	0	0	0	0	0	0
MOGAT3	0	0	0	1	0	0
MOGS	1897	322	3133	3060	1507	2971
MOK	616	197	1353	1691	573	3106
MON1A	1410	262	2040	2159	1169	2231
MON1B	615	170	1698	2269	867	1439
MON2	1652	367	4706	6162	2742	5340
MORC1	0	0	2	4	0	42
MORC2	1295	341	5940	7372	1306	5735
MORC3	1084	289	3908	5058	1562	4766
MORC4	200	130	588	865	153	411
MORF4L1	3065	570	3259	4207	2832	5608
MORF4L2	10225	992	8603	10937	9657	12205
MORN1	236	86	507	675	356	339
MORN2	529	177	278	431	359	524
MORN3	148	7	364	310	151	330
MORN4	545	125	1797	2065	870	2104
MORN5	77	26	52	46	48	64
MOS	0	0	4	0	2	0
MOSPD1	137	14	370	472	200	471
MOSPD2	533	106	668	988	587	801
MOSPD3	414	234	1293	1305	266	1225
MOV10	726	356	928	1213	428	455
MOV10L1	103	37	81	85	162	175
MOXD1	1594	158	3067	7346	763	243
MPC1	1680	542	978	1079	1204	1598
MPC1L	0	2	0	0	0	0
MPC2	1613	460	1603	1581	1896	2071
MPDU1	1035	440	1734	2061	749	1766
MPDZ	2464	844	5049	8735	3868	3192
MPEG1	24	2	72	98	33	85
MPG	1327	552	1149	1075	1046	1046
MPHOSPH10	1763	391	3934	4933	1480	5131
MPHOSPH6	588	122	897	1243	619	1200
MPHOSPH8	5367	627	6130	9570	5601	8174
MPHOSPH9	305	93	1815	2641	740	1748
MPI	2238	492	1470	1590	1704	1562
MPL	46	8	7	21	125	21
MPLKIP	333	151	817	980	272	843
MPND	1109	389	1670	1858	1175	1792
MPO	94	5	22	44	87	25
MPP1	3177	301	1335	1533	3231	1829
MPP2	1707	172	1870	1869	2051	2241
MPP3	224	32	2582	3203	237	3589
MPP4	20	5	22	10	28	8
MPP5	989	199	819	1799	1334	676
MPP6	249	106	3201	1796	625	2734
MPP7	159	17	33	112	609	53
MPPE1	1321	244	1474	2548	1274	3271
MPPED1	2631	96	17412	20140	3387	28189
MPPED2	401	142	4464	4891	647	2790
MPRIP	7095	2137	16486	18655	13404	17187
MPST	586	403	1536	1067	274	728
MPV17	1824	410	1595	2072	1387	1743
MPV17L	63	8	108	105	108	170
MPV17L2	199	62	235	276	233	306
MPZ	36	15	131	152	17	98
MPZL1	179	147	1850	2187	288	2766
MPZL2	8	17	8	32	13	37
MPZL3	5	3	19	13	24	24
MR1	61	34	5	9	74	21
MRAP	139	38	186	207	121	249
MRAP2	440	17	156	110	640	97
MRAS	1924	815	1499	2896	2319	3195
MRC1	16	14	90	318	137	505
MRC2	448	454	2255	3037	413	934
MRE11A	193	74	1039	1427	323	840
MREG	269	25	147	185	354	112
MRFAP1	6286	1704	6479	7695	7201	7052
MRFAP1L1	1743	309	3322	4021	1499	3896
MRGBP	391	55	1119	1168	294	994
MRGPRD	0	0	7	3	2	6
MRGPRE	14	2	0	2	8	0
MRGPRF	29	112	28	48	47	104
MRGPRG	0	0	0	0	0	0
MRGPRX1	0	0	0	0	0	0
MRGPRX2	0	0	0	0	0	0
MRGPRX3	0	0	0	0	4	2
MRGPRX4	0	0	0	0	0	0
MRI1	850	184	1968	2123	782	1622
MRLN	0	1	1	2	1	0
MRM1	228	40	217	301	163	207
MRM2	476	129	837	977	497	871
MRM3	529	98	773	997	520	926
MRO	306	446	4	24	254	13
MROH1	3760	922	3940	4253	3701	4269
MROH2A	2	0	2	39	2	8
MROH2B	0	1	2	0	0	0
MROH5	8	52	29	25	16	27
MROH6	126	32	210	569	73	393
MROH7	849	400	243	60	524	94
MROH8	369	93	480	612	294	566
MROH9	1	0	0	4	0	2
MRPL1	1099	240	1368	1696	975	2198
MRPL10	1031	252	1355	1409	908	1270
MRPL11	616	162	964	1145	441	918
MRPL12	1402	515	1021	1306	1038	1370
MRPL13	592	296	709	852	473	915
MRPL14	673	231	893	1235	560	1148
MRPL15	1677	462	1736	2146	1378	2431
MRPL16	1406	436	1387	1434	965	1523
MRPL17	749	193	791	1064	658	932
MRPL18	1763	428	1230	1718	1320	1755
MRPL19	1037	361	1055	1223	911	1198
MRPL2	1143	328	752	740	879	681
MRPL20	2556	948	1968	2215	1752	2497
MRPL21	1113	256	1068	1506	631	1110
MRPL22	658	217	785	887	541	861
MRPL23	842	410	875	924	621	756
MRPL24	1432	519	1252	1478	1133	1543
MRPL27	1448	606	1499	1786	914	1788
MRPL28	2365	706	1967	2141	1663	1738
MRPL3	1594	267	3321	3818	1709	4475
MRPL30	497	118	1091	1361	686	1527
MRPL32	1148	299	1402	1726	972	1812
MRPL33	783	295	860	1227	716	1221
MRPL34	331	172	211	237	381	224
MRPL35	702	244	937	1241	883	1538
MRPL36	284	146	619	601	351	564
MRPL37	2361	473	3492	3316	2442	3203
MRPL38	1613	512	2110	1839	1415	1858
MRPL39	852	224	901	1033	724	1172
MRPL4	1939	506	1813	1881	1614	1612
MRPL40	910	404	683	809	576	663
MRPL41	2538	2041	1579	1059	1925	1193
MRPL42	223	96	1016	1463	257	1163
MRPL43	1456	552	2366	2438	954	2207
MRPL44	967	130	1971	2360	825	2628
MRPL45	806	110	1633	1505	743	1789
MRPL46	825	159	807	988	685	849
MRPL47	996	318	1030	1413	878	1169
MRPL48	764	161	895	1020	691	1165
MRPL49	451	177	954	1183	455	1177
MRPL50	468	136	870	1137	624	1013
MRPL51	2047	876	1644	2070	1601	1419
MRPL52	678	349	1067	1273	521	1356
MRPL53	537	373	602	852	350	485
MRPL54	688	336	612	647	668	654
MRPL55	667	330	549	553	538	510
MRPL57	508	216	496	530	526	504
MRPL9	1098	217	1763	2013	1038	1489
MRPS10	441	112	681	823	662	1035
MRPS11	963	296	1084	1307	889	1194
MRPS12	413	151	401	454	417	370
MRPS14	452	231	718	845	448	818
MRPS15	1529	537	805	1049	1161	1098
MRPS16	917	236	1930	2344	861	2205
MRPS17	338	99	552	610	398	773
MRPS18A	860	305	504	552	660	510
MRPS18B	1229	330	1143	1296	1010	1332
MRPS18C	916	278	553	841	614	1008
MRPS2	1149	238	1829	1903	861	1705
MRPS21	2343	850	2320	2644	1429	3422
MRPS22	1635	387	1717	1896	1551	1968
MRPS23	1449	261	1624	1773	1373	1956
MRPS24	993	446	948	989	765	1145
MRPS25	956	275	1244	1446	1057	1583
MRPS26	1578	466	2027	1611	1358	1613
MRPS27	1522	185	2477	2694	1610	4238
MRPS28	1079	407	824	1077	781	1322
MRPS30	798	109	1683	1880	1238	1617
MRPS31	686	220	1436	1992	623	1502
MRPS33	1070	248	802	1023	933	1305
MRPS34	1094	316	1522	1433	924	1439
MRPS35	1448	211	1887	2514	1089	2940
MRPS36	609	243	529	623	560	884
MRPS5	2119	513	3845	4653	1804	3951
MRPS6	700	271	1333	1516	541	1861
MRPS7	1472	423	1118	1225	1313	1339
MRPS9	1392	285	1064	1147	1177	1156
MRRF	282	79	561	753	284	717
MRS2	928	180	1181	1704	975	1460
MRTO4	1025	266	1419	1287	906	1409
MRVI1	665	1002	44	127	286	103
MS4A1	0	11	0	1	5	0
MS4A10	0	0	0	0	0	0
MS4A12	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0
MS4A14	20	0	5	7	9	3
MS4A15	2	0	0	1	0	0
MS4A18	0	0	0	0	2	0
MS4A2	0	2	3	0	0	0
MS4A3	2	0	0	0	0	1
MS4A4A	14	1	7	36	19	33
MS4A4E	1	0	0	0	4	0
MS4A5	0	0	0	0	0	0
MS4A6A	12	6	4	34	31	43
MS4A6E	0	0	0	0	0	0
MS4A7	13	3	14	42	21	14
MS4A8	5	1	0	9	4	12
MSANTD1	98	17	67	40	123	180
MSANTD2	409	124	1491	1846	376	1452
MSANTD3	356	97	874	1200	308	1156
MSANTD3-TMEFF1	0	0	0	0	0	0
MSANTD4	605	230	1666	2745	734	2151
MSC	169	33	0	0	126	4
MSGN1	1	0	0	0	0	0
MSH2	2020	239	4893	6767	2646	5334
MSH3	640	176	1681	1794	773	2059
MSH4	49	10	63	85	48	146
MSH5	169	81	1073	1640	100	565
MSH6	1745	396	9773	11285	1767	8206
MSI1	232	154	3769	3830	158	1497
MSI2	803	705	1498	2040	560	461
MSL1	3223	601	8365	9997	3799	9996
MSL2	429	85	3449	4023	664	3152
MSL3	1312	211	2469	3275	1563	4064
MSLN	15	1	3	6	8	4
MSMB	0	0	0	1	0	0
MSMO1	2779	489	5481	9136	2176	15087
MSMP	250	55	711	900	381	765
MSN	1051	931	3063	5171	803	1543
MSR1	1	0	3	18	17	3
MSRA	681	129	2543	1448	664	2613
MSRB1	226	176	209	318	155	285
MSRB2	779	680	392	645	549	709
MSRB3	77	122	24	148	81	114
MSS51	106	11	226	297	113	172
MST1	323	160	1215	1057	224	618
MST1L	32	20	50	110	14	39
MST1R	61	9	417	399	55	347
MSTN	14	7	75	55	36	51
MSTO1	219	55	375	426	231	406
MSX1	127	145	51	94	130	135
MSX2	8	9	0	4	32	2
MT1A	3	16	0	0	1	0
MT1B	0	0	0	0	0	0
MT1E	444	1097	23	53	150	8
MT1F	17	620	107	114	140	50
MT1G	63	1428	0	2	121	0
MT1H	4	69	0	0	4	0
MT1HL1	1	13	1	0	3	0
MT1M	163	654	7	21	86	4
MT1X	289	706	68	119	110	33
MT2A	1174	3175	246	425	493	95
MT3	6249	13171	351	549	3558	243
MT4	0	0	0	0	0	0
MTA1	2700	695	8771	9613	2107	7160
MTA2	2003	563	8802	10547	1370	7422
MTA3	1155	241	1916	2395	2098	2816
MTAP	151	43	360	667	160	437
MTBP	265	39	790	976	321	487
MTCH1	14830	1746	6714	8451	13748	10180
MTCH2	1683	560	3396	3649	2216	5055
MTCL1	1226	88	3990	4478	2424	2816
MTCP1	21	1	22	22	9	23
MTDH	1163	249	4397	4787	2015	4140
MTERF1	280	101	846	962	325	927
MTERF2	1088	346	607	1146	809	1254
MTERF3	590	147	840	1110	582	1116
MTERF4	829	236	2562	2067	682	2203
MTF1	128	50	924	1035	312	915
MTF2	438	82	2985	4120	622	3123
MTFMT	389	78	530	600	501	736
MTFP1	145	103	101	89	98	52
MTFR1	235	67	693	853	147	649
MTFR1L	2226	600	2625	3334	1971	3195
MTFR2	13	4	82	104	6	17
MTG1	636	203	2052	2379	576	1700
MTG2	561	142	1058	1078	573	904
MTHFD1	2216	552	4125	4304	2246	3608
MTHFD1L	733	90	1931	1617	806	1875
MTHFD2	67	43	663	678	91	847
MTHFD2L	113	40	304	341	96	374
MTHFR	430	117	1430	1826	647	1683
MTHFS	25	28	14	15	14	8
MTHFSD	164	69	593	675	167	409
MTIF2	1577	277	957	1277	1399	1508
MTIF3	1882	452	1311	2024	1309	1886
MTM1	455	169	411	422	373	328
MTMR1	588	151	2001	2484	1004	2393
MTMR10	2524	786	1793	2271	1732	1190
MTMR11	349	124	439	720	253	200
MTMR12	715	100	2139	2419	1560	2177
MTMR14	1081	251	1459	1691	861	1444
MTMR2	1289	223	2481	3350	2205	3660
MTMR3	1135	426	7731	8553	1415	7051
MTMR4	1906	234	10843	13679	3656	12355
MTMR6	1260	157	2645	3678	2441	3351
MTMR7	781	32	1849	2244	1603	2591
MTMR8	14	3	165	185	24	201
MTMR9	238	24	2154	2556	1126	2965
MTNR1A	0	2	2	12	5	18
MTNR1B	0	0	0	4	0	0
MTO1	953	129	1211	1189	946	1018
MTOR	3113	689	7828	9449	5364	9871
MTPAP	411	110	1759	2090	577	2363
MTPN	1153	182	3874	4032	3031	5243
MTR	357	69	2212	3246	1015	3039
MTRF1	378	71	629	666	310	598
MTRF1L	197	77	292	330	252	294
MTRNR2L1	4	12	0	0	0	0
MTRNR2L10	0	1	0	0	0	0
MTRNR2L2	0	0	1	5	2	1
MTRNR2L3	2	0	0	0	0	0
MTRNR2L4	3	0	9	9	2	15
MTRNR2L5	1	1	0	0	0	0
MTRNR2L6	2	1	0	1	0	0
MTRNR2L7	0	0	0	0	0	0
MTRNR2L8	5212	18522	894	945	3016	889
MTRNR2L9	0	2	1	1	0	4
MTRR	1126	199	1073	1675	1410	1488
MTSS1	1167	312	12144	16692	1490	16132
MTSS1L	9738	6698	10238	10030	6538	10455
MTTP	25	2	125	147	34	24
MTURN	2268	2180	2436	2751	4114	3578
MTUS1	2208	532	849	1882	1647	1358
MTUS2	447	16	552	1602	1117	2243
MTX1	365	118	620	637	281	593
MTX2	2380	310	2094	2816	1871	3694
MTX3	36	27	522	709	304	465
MUC1	50	50	93	134	10	83
MUC12	63	32	14	31	43	40
MUC13	2	0	2	1	0	0
MUC15	0	2	0	0	5	0
MUC16	3	0	0	0	0	0
MUC17	3	0	0	0	0	0
MUC19	17	0	3	67	13	34
MUC2	0	0	0	0	0	2
MUC20	113	55	206	505	118	468
MUC21	0	0	0	0	0	0
MUC22	0	0	2	0	0	2
MUC3A	3	2	95	33	11	79
MUC4	51	26	27	163	28	126
MUC5AC	2	0	0	0	0	0
MUC5B	36	12	7	4	19	4
MUC6	147	33	59	180	53	168
MUC7	0	0	0	0	0	0
MUC8	0	0	0	2	0	1
MUCL1	4	0	0	0	5	1
MUL1	564	153	921	1060	538	1064
MUM1	3038	837	6579	6628	3770	6767
MUM1L1	302	10	18	37	912	29
MURC	71	16	347	986	70	584
MUS81	1222	410	3013	3436	956	2848
MUSK	13	0	2	4	5	5
MUSTN1	3	0	2	14	3	3
MUT	2034	618	2403	3654	1874	3736
MUTYH	432	211	1734	1601	260	1118
MVB12A	401	208	928	1074	238	855
MVB12B	969	222	2608	2882	613	3116
MVD	2138	569	5347	8149	1711	8329
MVK	858	146	878	1180	584	1694
MVP	1331	587	319	358	786	322
MX1	1669	379	100	176	1164	185
MX2	54	30	77	23	127	4
MXD1	97	20	273	516	214	495
MXD3	89	19	758	739	53	85
MXD4	706	305	1848	1985	690	1440
MXI1	1872	621	2413	3584	1580	2524
MXRA5	21	57	196	446	121	1014
MXRA7	944	218	365	548	785	522
MXRA8	472	417	1009	1226	760	455
MYADM	1385	175	887	1070	1555	1352
MYADML2	166	6	34	44	120	54
MYB	23	0	286	522	32	280
MYBBP1A	3482	524	4584	3918	3252	3536
MYBL1	106	22	355	523	105	94
MYBL2	4	0	1196	1295	0	127
MYBPC1	1361	964	258	169	1447	238
MYBPC2	36	0	8	4	51	8
MYBPC3	10	3	1	1	0	1
MYBPH	13	4	12	4	9	2
MYBPHL	36	6	14	34	41	48
MYC	156	38	1540	1702	186	2910
MYCBP	41	39	110	158	33	113
MYCBP2	8003	944	19352	32572	23681	43719
MYCBPAP	133	26	110	132	79	83
MYCL	40	7	563	542	36	426
MYCN	113	17	5959	4947	115	5976
MYCT1	48	66	85	114	82	138
MYD88	78	57	628	985	59	676
MYDGF	1109	309	1728	1831	1121	1944
